color,director_name,duration,gross,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,genres_1,genres_2,genres_3,genres_4,genres_5
COLOR,MARTIN SCORSESE,240,0.18750290710245301,THE WOLF OF WALL STREET,2013,ENGLISH,USA,0.4,8.2,"LEONARDO DICAPRIO,MATTHEW MCCONAUGHEY,JON FAVREAU",138000,BIOGRAPHY,COMEDY,CRIME,DRAMA,-
COLOR,SHANE BLACK,195,0.656193956577882,IRON MAN 3,2013,ENGLISH,USA,0.8,7.2,"ROBERT DOWNEY JR.,JON FAVREAU,DON CHEADLE",95000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR ,QUENTIN TARANTINO,187,0.08682491068490011,THE HATEFUL EIGHT,2015,ENGLISH,USA,0.176,7.9,"CRAIG STARK,JENNIFER JASON LEIGH,ZOË BELL",114000,CRIME,DRAMA,MYSTERY,THRILLER,WESTERN
COLOR,KENNETH LONERGAN,186,7.459734596424997e-05,MARGARET,2011,ENGLISH,USA,0.056,6.5,"MATT DAMON,KIERAN CULKIN,JOHN GALLAGHER JR.",0,DRAMA,-,-,-,-
COLOR,PETER JACKSON,186,0.4145095972481831,THE HOBBIT: THE DESOLATION OF SMAUG,2013,ENGLISH,USA,0.9,7.9,"AIDAN TURNER,ADAM BROWN,JAMES NESBITT",83000,ADVENTURE,FANTASY,-,-,-
COLOR,PETER JACKSON,50,0.4861401765201835,THE HOBBIT: AN UNEXPECTED JOURNEY,2012,ENGLISH,USA,0.72,7.9,"AIDAN TURNER,ADAM BROWN,JAMES NESBITT",166000,ADVENTURE,FANTASY,-,-,-
COLOR,JOSS WHEDON,173,1.0,THE AVENGERS,2012,ENGLISH,USA,0.88,8.1,"CHRIS HEMSWORTH,ROBERT DOWNEY JR.,SCARLETT JOHANSSON",123000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR,TOM TYKWER,172,0.043477409342938055,CLOUD ATLAS,2012,ENGLISH,GERMANY,0.408,7.5,"TOM HANKS,JIM STURGESS,JIM BROADBENT",124000,DRAMA,SCI-FI,-,-,-
COLOR,NULL,158,0.16447803155652083,THE GIRL WITH THE DRAGON TATTOO,2011,ENGLISH,USA,0.36,7.8,"ROBIN WRIGHT,GORAN VISNJIC,JOELY RICHARDSON",54000,CRIME,DRAMA,MYSTERY,THRILLER,-
COLOR,CHRISTOPHER NOLAN,169,0.3016165698118119,INTERSTELLAR,2014,ENGLISH,USA,0.66,8.6,"MATTHEW MCCONAUGHEY,ANNE HATHAWAY,MACKENZIE FOY",349000,ADVENTURE,DRAMA,SCI-FI,-,-
COLOR,F. GARY GRAY,167,0.2583580205303929,STRAIGHT OUTTA COMPTON,2015,ENGLISH,USA,0.112,7.9,"ALDIS HODGE,NEIL BROWN JR.,R. MARCOS TAYLOR",76000,BIOGRAPHY,CRIME,DRAMA,HISTORY,MUSIC
COLOR,RICHARD LINKLATER,165,0.04068671934136161,BOYHOOD,2014,ENGLISH,USA,0.016,8.0,"ELLAR COLTRANE,LORELEI LINKLATER,LIBBY VILLARI",92000,DRAMA,-,-,-,-
COLOR,QUENTIN TARANTINO,580,0.26120646631775324,DJANGO UNCHAINED,2012,ENGLISH,USA,0.4,8.5,"LEONARDO DICAPRIO,CHRISTOPH WALTZ,ATO ESSANDOH",199000,DRAMA,WESTERN,-,-,-
COLOR,MICHAEL BAY,165,0.39376895677277857,TRANSFORMERS: AGE OF EXTINCTION,2014,ENGLISH,USA,0.84,5.7,"BINGBING LI,SOPHIA MYLES,KELSEY GRAMMER",56000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR,CHRISTOPHER NOLAN,164,0.718988203859672,THE DARK KNIGHT RISES,2012,ENGLISH,USA,1.0,8.5,"TOM HARDY,CHRISTIAN BALE,JOSEPH GORDON-LEVITT",164000,ACTION,THRILLER,-,-,-
COLOR,PETER JACKSON,164,0.40930008248770594,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,2014,ENGLISH,NEW ZEALAND,1.0,7.5,"AIDAN TURNER,ADAM BROWN,JAMES NESBITT",65000,ADVENTURE,FANTASY,-,-,-
COLOR,TOM HOOPER,158,0.23869780536854357,LES MISÉRABLES,2012,ENGLISH,USA,0.244,7.6,"HUGH JACKMAN,EDDIE REDMAYNE,ANNE HATHAWAY",144000,DRAMA,MUSICAL,ROMANCE,-,-
COLOR,KATHRYN BIGELOW,157,0.1535758977825082,ZERO DARK THIRTY,2012,ENGLISH,USA,0.16,7.4,"JENNIFER EHLE,HAROLD PERRINEAU,PARKER SAWYERS",39000,DRAMA,HISTORY,THRILLER,-,-
COLOR,RIDLEY SCOTT,156,0.16881628076269925,ROBIN HOOD,2010,ENGLISH,USA,0.8,6.7,"MARK ADDY,WILLIAM HURT,SCOTT GRIMES",17000,ACTION,ADVENTURE,DRAMA,HISTORY,-
COLOR,MICHAEL BAY,154,0.5653302449855618,TRANSFORMERS: DARK OF THE MOON,2011,ENGLISH,USA,0.78,6.3,"GLENN MORSHOWER,LESTER SPEIGHT,KEVIN DUNN",46000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR,DENIS VILLENEUVE,153,0.09780984839536215,PRISONERS,2013,ENGLISH,USA,0.184,8.1,"HUGH JACKMAN,JAKE GYLLENHAAL,DYLAN MINNETTE",86000,CRIME,DRAMA,MYSTERY,THRILLER,-
COLOR,MARC WEBB,153,0.4204063237133626,THE AMAZING SPIDER-MAN,2012,ENGLISH,USA,0.92,7.0,"EMMA STONE,ANDREW GARFIELD,CHRIS ZYLKA",56000,ACTION,ADVENTURE,FANTASY,-,-
COLOR,NAN,151,0.36649845819503524,THE MARTIAN,2015,ENGLISH,USA,0.432,8.1,"MATT DAMON,DONALD GLOVER,BENEDICT WONG",153000,ADVENTURE,DRAMA,SCI-FI,-,-
COLOR,RIDLEY SCOTT,150,0.10429837672821951,EXODUS: GODS AND KINGS,2014,ENGLISH,UK,0.56,6.1,"CHRISTIAN BALE,MARÍA VALVERDE,BEN MENDELSOHN",51000,ACTION,ADVENTURE,DRAMA,-,-
COLOR,GORE VERBINSKI,650,0.14325820641760928,THE LONE RANGER,2013,ENGLISH,USA,0.86,6.5,"JOHNNY DEPP,RUTH WILSON,TOM WILKINSON",48000,ACTION,ADVENTURE,WESTERN,-,-
COLOR,DAVID FINCHER,149,0.2691174398507898,GONE GIRL,2014,ENGLISH,USA,0.244,8.1,"PATRICK FUGIT,SELA WARD,EMILY RATAJKOWSKI",146000,CRIME,DRAMA,MYSTERY,THRILLER,-
COLOR,BRYAN SINGER,149,0.37529706714409483,X-MEN: DAYS OF FUTURE PAST,2014,ENGLISH,UNITED STATES,0.8,8.0,"JENNIFER LAWRENCE,PETER DINKLAGE,HUGH JACKMAN",82000,ACTION,ADVENTURE,FANTASY,SCI-FI,THRILLER
COLOR,CHRISTOPHER NOLAN,148,0.4694022969439746,INCEPTION,2010,ENGLISH,USA,0.64,8.8,"LEONARDO DICAPRIO,TOM HARDY,JOSEPH GORDON-LEVITT",175000,ACTION,ADVENTURE,SCI-FI,THRILLER,-
COLOR,PAUL THOMAS ANDERSON,148,0.012985053077636125,INHERENT VICE,2014,ENGLISH,USA,0.08,6.7,"MARTIN DEW,KATHERINE WATERSTON,SERENA SCOTT THOMAS",18000,COMEDY,CRIME,DRAMA,MYSTERY,ROMANCE
